scope,layer,placement,fit_profile,eval_profile,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,42,P_joint_0.5,all,all,joint_surrogate_lambda_0.5,31859,254872,3.6138610753633196,4.0,4.0,0.637433692206284,0.9766471012900593,63832,63718.0,0.0014990585735771688,1.0017891333689068,3,83275.0
layer,42,P_joint_0.5,all,vision,joint_surrogate_lambda_0.5,15929,127432,3.6369514721577,4.0,4.0,0.6572917320610208,0.979659740096679,34015,31858.0,0.042954560294136496,1.0677066984744805,1,42004.0
layer,42,P_joint_0.5,all,text,joint_surrogate_lambda_0.5,15930,127440,3.5907721280602636,4.0,4.0,0.6175768989328312,0.9736346516007532,33553,31860.0,0.04540174412813896,1.0531387319522914,0,41271.0
layer,42,P_joint_0.75,all,all,joint_surrogate_lambda_0.75,31859,254872,3.631564079224081,4.0,4.0,0.6540694937066449,0.9775259738221539,63747,63718.0,0.0003244934418552894,1.0004551304184062,3,83839.0
layer,42,P_joint_0.75,all,vision,joint_surrogate_lambda_0.75,15929,127432,3.6193734697721136,4.0,4.0,0.6461171448301839,0.9733191035218783,34235,31858.0,0.05573440023900945,1.0746123422688179,3,41724.0
layer,42,P_joint_0.75,all,text,joint_surrogate_lambda_0.75,15930,127440,3.6437539234149403,4.0,4.0,0.6620213433772756,0.9817325800376648,34115,31860.0,0.05520800652053097,1.0707784055241683,0,42115.0
layer,42,P_joint_1,all,all,joint_surrogate_lambda_1,31859,254872,3.7060799146238113,4.0,4.0,0.7165322200947927,0.9895790828337362,63723,63718.0,6.930350031645569e-05,1.0000784707617942,2,86213.0
layer,42,P_joint_1,all,vision,joint_surrogate_lambda_1,15929,127432,3.6853537572980097,4.0,4.0,0.6995417163663757,0.9858748195115826,34248,31858.0,0.04830773994476525,1.0750204030384833,3,42775.0
layer,42,P_joint_1,all,text,joint_surrogate_lambda_1,15930,127440,3.7268047708725676,4.0,4.0,0.7335216572504708,0.9932831136220966,33671,31860.0,0.04844316800508707,1.056842435655995,2,43438.0
layer,42,P_V_load,vision,all,modality_greedy_load+swap,31859,254872,3.684265042845036,4.0,4.0,0.6956903857622649,0.9885746570827709,67637,63718.0,0.04341245522664327,1.0615053830942591,2,85518.0
layer,42,P_V_load,vision,vision,modality_greedy_load+swap,15929,127432,3.632431414401406,4.0,4.0,0.650574424006529,0.9818569903948773,31860,31858.0,5.872398434889104e-05,1.0000627785799485,2,41932.0
